"#name"|"Korean Law Dic" 
"규범적 구성요건요소 規範的 構成要件要素 [독] normatives Tatbestandselement"|"구성요건의 내용으로 된 사실을 인식함에 있어서 규범적 평가, 가치판단에 의하지 아니하면 그 의미 내용을 확정할 수 없는 요소. 죄벌법정주의가 요구하는 형법의 마그나 카르타적 기능의 면으로 볼 때에는 구성요건은 될 수 있는 대로 명확한 표현으로 규정하고 법관이 주관적 평가, 가치판단의 혼입을 피하고 사실적 기술적 요소의 구성요건이 요청된다. 그러나 모든 구성요건에 이러한 요청을 관철할 수 없고, 때로는 형법 이외의 다른 법규범·사회규범·문화규범 등에 의한 보충적 평가·판단을 기다려서 비로소 그 의미·내용·한계 등을 확정할 수 있는 경우가 있다. 예를 들면 형법 이외의 법률적 평가를 받는 것으로서 유가증권위조죄에 있어서의 [유가증권](형214), 수뢰죄에 있어서의 [공무원] 또는 [중개인](형129) 존속살인죄에 있어서의 [배우자] [직계존속](형25②), 절도죄에 있어서의 [타인의 재물](형329) 등이 있고 사회상규에 의하여 도덕적·사회적·경제적 평가를 필요로 하는 것으로서 [추행](형228·298), [음란](형245), [명예](형307), [신용], [업무](형313) 등이 있다. 이 모두가 규범적 구성요건요소이다. 그러나 일반적으로 기술적 요소라고 하는 것, 예를 들면 살인죄에 있어서의 [사람](형250)도 정도의 차이는 있으나 법관의 평가활동을 필요로 한다. 따라서 기술적 요소와 규범적 요소와의 한계가 반드시 명확하다고 할 수 없다."
"규범적 책임론 規範的 責任論 [독] normative Schuldauffassung"|"책임의 본질을 파악하는데 관한 기본적인 입장이다. 심리적 책임론은 책임을 심리적 사실인 고의 또는 과실과 동일시하는 기본적인 입장이며, 이에 대해서 규범적 책임론은 책임을 심리적 책임론에서와 같이 단순한 심리적 사실로 이해하지 않고, 행위자의 범죄행위에 관한 심리적 태도에 대하여 법률질서의 면에서 비난가능성을 의미한다. 심리적 책임론은 19세기 독일형법학을 지배하였던 이론으로서 자연과학적 사유의 영향을 받아 성립된 이론이었으나 20세기초이래 규범적 책임론이 대두하여 지배적 견해로 되었다. 심리적 책임론에 있어서는 고의 또는 과실이라는 적극적 혹은 소극적 악의의 존재, 즉 책임이 있는 것이며 책임은 고의 또는 과실에 공통한 유개념이라고 하였으나 규범적 책임론은 고의 또는 과실은 행위자에 대한 비난가능성을 근거하게 하는 일요소에 불과하고 책임의 본질은 행위자가 적법한 행위를 선택할 것을 기대 할 수 있는 상황에 있음에도 불구하고 위법한 행위를 하였다는 점에 행위자를 비난할 수 있다는 것, 즉 기대가능성을 책임의 중심적 요소로 인정한다. 우리나라에 있어서도 규범적 책임론이 책임론의 지배적 견해이다. 더욱이 규범적 책임론은 대부분의 주장자가 책임은 고의 또는 과실이라는 심리적 요소와 기대가능성이라는 규범적 요소로서 구성된다는 것을 인정하고 있으나, 규범적 책임론의 관철을 주장하는 일부의 학자는 책임을 기대가능성이라는 규범적 책임요소만으로 구성하여야 한다고 하고, 심리적 요소인 고의 또는 과실은 책임의 영역에서 제외하여야 한다고 주장한다. 그 대표자로서 벨첼, 도나 등을 들 수 있는데, 이른바 목적적 행위론의 범죄론 체계에서 고의 또는 과 실을 구성요건 내지 위법성의 요소로서 이해하고 책임개념을 오직 규범적 요소로서만 구성하여야 한다는 이론이 그것이다."
"규칙제정권 規則制定權 [영] rules making power"|"대법원이 일정한 사항(법원의 내부규율 및 사무처리에 관한 사항)에 관하여 규칙을 제정할 수 있는 권한(헌108). 법원에 규칙제정권을 인정하는 것은 일찍이 영국, 미국에서 행하여진 바 인데 소송절차 등에 관한 법령의 제정은 국회보다도 실정을 잘 알고 또 전문가가 많은 법원에 일임하는 것이 합리적이라는 인식에 의하여 헌법은 사법권이 국정에 있어서 가지는 비중을 고려하여 그 자주성을 강화하기 위하여 이 제도를 명문으로써 규정한 것이다. 이 규칙과 법률과의 관계에 관하여 아무런 규정도 없기 때문에 규칙과 법률이 저촉할 경우의 우열에 관하여 학설이 분립되어 있으나(법률 우위설, 규칙우위설, 법률규칙 동일설 등) 국회를 유일한 입법기관으로 하는 헌법의 취지를 존중하여 국회가 제정한 법률이 가장 우위하다는 견해가 통설이다."
"균등처우 均等處遇"|"사용자는 근로자에 대하여 남녀의 차별적 대우를 하지 못하며 국적·신앙 또는 사회적 신분을 이유로 근로조건에 대한 차별적 처우를 하지 못한다(근기5). 균등처우는 헌법 제11조 제1항에 규정된 [법률 앞에 평등]하다는 취지를 노사관계에 있어서도 관철하려는 것이다. 본조의 신조가 단지 종교적인 것이냐 혹은 널리 정치적인 것도 포함하느냐에 대하여는 특히 논란이 되고 있으나 넓게 해석하는 설이 유력하고 보편적이라 할 수 있다."
"균분상속 均分相續"|"자녀간의 상속분을 균등으로 하는 공동상속제도. 민법의 규정은 특히 균분상속제를 채용하고 있으며 공동상속인은 언제든지 그 협의에 의하여 상속재산을 분할할 수 있다(민1013)."
"균역법 均役法"|"조선 영조 때(1756)에 평민층의 정년자(丁年者)에게 군역 대신 징수한 양포(면포) 2필을 1필씩 징수하고, 부족액을 어업세·염세·선박세·은결·전결 등에서 보충하던 납세제도를 말한다."
"균전법 均田法"|"토지의 사유를 제한하여 농민을 경작지에 고착시켜 조세수입과 노동력의 확보를 꾀하고자 당나라에서 실시한 제도이다. 주(周)나라의 정전법(井田法)에서 비롯하였다고 한다."
"근담보 根擔保"|"근저당 및 이것과 같은 목적을 가진 질(근질) 및 보증(근보증)의 총칭. 당좌대월계약과 같이 계속적 거래관계로부터 생기는 채무의 일정액을 한도로 하여 담보하는 것을 목적으로 한다. 민법은 근저당에 관하여만 명문으로 규정하고 있다(민357)."
"근로감독관 勤勞監督官"|"근로기준법은 근로자보호를 위하여 근로조건의 최저선을 결정하는 한편 이의 이행을 보장하기 위하여 국가적 감독기관인 근로감독관을 두고 있다. 근로감독관은 노동부·서울특별시·광역시·도·시·군에 배치하며 노동부장관이 임명한다(근기104). 근로감독관의 권한은 강력한 것으로서 사업장, 기숙사, 기타 부속건물에 임검하고 장부와 서류의 제출을 요구할 수 있으며 또 사용자와 근로자에 대하여 심문할 수 있고 근로기준법위반의 죄에 대하여 형사소송법에 규정된 사법경찰관의 직무를 행한다(근기105∼108)."
"근로계약 勤勞契約 [영] contract of service [독] Arbeitsvertrag"|"근로자가 사용자에게 근로를 제공하고, 사용자는 이에 대하여 임금의 지급을 목적으로 체결하는 계약을 말한다(근기17). 민법의 고용계약에 해당되나 민법은 계약자유의 원칙에 따라 노동력도 다른 상품과 동일시하고 근로계약을 양당사자의 자유의사에 맡기고 있다. 그러나 자본주의경제의 발달에 따라 근로자는 사실상 사용자와 종속관계에 서게 되어 대등한 관계를 유지할 수 없게 되었다. 따라서 근로자 보호를 위하여 계약자유의 원칙을 제약하는 노동법령이 발달하게 되고 근로계약도 그 자체가 특수한 계약유형으로서 특수한 법규율의 대상으로 등장한 것이다. 근로기준법은 근로조건의 최저기준을 정하고 이 기준에 미달한 근로조건을 정한 근로계약은 그 부분에 한하여 무효로 하며 무효로 된 부분은 이 법이 정한 기준에 따르도록 하고 있다(근기22). 또한 1년이상의 장기계약의 금지, 근로자의 인신구속 또는 강제노동의 우려가 있는 여러 약정의 금지(근기23∼29), 해고제한(근기30), 여자와 소년의 근로계약의 체결 등에 관하여 규정하고 있다(근기65∼73). 그리고 근로계약의 내용은 근로기준법 외에 단체협약(노동관계33) 및 취업규칙(근기100)에 의하여 제약을 받는다."
"근로기본권 勤勞基本權"|"근로자의 권익을 옹호함으로써 인간다운 생활을 보장하기 위하여 인정되는 기본권. 헌법은 근로권 이외에 단결권·단체교섭권 및 단체행동자유권을 보장하는 바, 이를 일괄하여 근로기본권이라고 부른다. 종래의 헌법이 개인의 천부의 자유를 국가의 부당한 침해로부터 수호하기 위하여 자유권의 보장에만 치중한 데 비하여 이 기본권을 보장한 점에 있어서 우리 헌법은 바이마르헌법의 뒤를 이어 복지국가헌법의 참모습을 나타내고 있다. 그 중에서 근로권은 법률적으로 정치적 강령을 표시한 것에 불과하나 나머지 3권은 단순한 자유권으로서의 뜻 이상의 적극적인 뜻을 가진 것으로 보장되어 구체적인 근로입법의 기초가 되어 있다. 이에 관하여 헌법은 공공의 복지에 의한 제약을 명정하고 있지 않으나 일반인에 대해서와 마찬가지로 근로자에게 그 생존을 확보케 하기 위하여(생존권) 이른바 그 수단으로 단결권·단체교섭권·쟁의권을 보장하는 것이므로 자체가 절대적인 것이 아니고, 사회전체의 이익조정상 제약을 받는 것을 당연히 예정한 것이라 할 수 있다(헌32·33)."
"근로기준법 勤勞基準法"|"헌법 제32조 제3항의 [근로조건의 기준은…법률로 정한다]라는 규정에 의하여 제정된 근로자의 근로조건에 관한 통일적 보호법전을 말한다. 1997년 3월 13일 법률 제5309호로 제정·공포되었다. 근로기준법은 총칙, 근로계약, 임금, 근로시간과 휴식, 여자와 소년, 안전과 보건, 기능습득, 재해보상, 취업규칙, 기숙사, 근로감독관, 벌칙 등 12장과 부칙으로 이루어져 있다. 본법은 근로조건의 기준을 정함으로써 근로자의 기본적 생활을 보장, 향상시키며 균형있는 국민경제의 발전을 기함을 목적으로 하고 있다. 이 법의 특색으로서는 첫째 통일적·망라적이라는 점 둘째 보호의 정도가 거의 국제적 수준에 이른 점 셋째 강력한 전국적 감독기관이 존재한다는 점 등을 들 수 있다. 이 법은 모든 사업 또는 사업장에 적용함을 원칙으로 하고 있으나 우리나라의 제반여건상 동거의 친족만을 사용하는 사업 또는 사업장과 가사사용인이나 상시 4인 미만의 근로자를 사용하는 사업 또는 사업장에 대하여는 적용하지 아니하도록 규정하고 있다."
"근로시간 勤勞時間 [영] hours of labour [독] Arbeitszeit"|"근로자가 사용자와의 근로계약에 의하여 실제로 노동할 의무를 지고 있는 시간을 말한다. 그러므로 휴게시간(근기53)은 포함되지 않는다. 여기에서 [노동]이라 함은 반드시 실제로 심신을 활용해 작업하는 것을 뜻하지 않고 작업을 목적으로 사용자의 지휘감독을 받는 상태를 말하므로 다음 작업을 위한 대기시간도 사용자의 지휘감독하에 있는 한 근로시간에 포함된다. 또한 작업전후의 준비 및 정리 등도 사용자의 명시 또는 묵시의 지시명령에 의하여 행하여 지는 한 근로시간에 포함된다. 근로시간은 근로조건중 가장 중요한 것 중 하나이므로 근로자보호라는 관점에서 근로기준법은 이에 대하여 엄격한 제한을 가하고 있다. 즉 근로시간은 1일에 8시간, 1주일에 44시간을 기준으로 이를 초과하지 못하도록 규제하여 1일 8시간 노동의 원칙을 확립하고 있다(근기49). 그렇지만 이 8시간 노동에 대해서도 당사자간의 합의에 의해서 연장할 수 있으며, 특별한 사정이 있는 때에는 노동부장관의 인가와 근로자의 동의를 얻어서 근로시간을 더욱 연장할 수 있도록 규정하고 있다. 다만 이 경우 통상임금의 100분의 50이상의 시간외 근무수당을 지급하도록 규정하고 있다(근기55)."
